,bubble_prob
2019-01-17,0.337503157567999
2019-01-24,0.33751751028792665
2019-01-31,0.3864990825616913
2019-02-07,0.40658854061084276
2019-02-15,0.35387078048223614
2019-02-22,0.33548694609072915
2019-03-01,0.36474203663846405
2019-03-11,0.3611055954551351
2019-03-18,0.37581997332641354
2019-03-26,0.3846918834414826
2019-04-03,0.41526120029301783
2019-04-10,0.4230311142936138
2019-04-18,0.43108155379044016
2019-04-26,0.42679703421612936
2019-05-07,0.5058136935401786
2019-05-14,0.5733395334353801
2019-05-21,0.6019047395364362
2019-05-28,0.5739572965893968
2019-06-04,0.549486097835512
2019-06-12,0.6156336007391887
2019-06-19,0.7307282094130293
2019-06-26,0.6825759148040326
2019-07-03,0.7292361816174868
2019-07-10,0.7549958441848715
2019-07-17,0.756567857530839
2019-07-24,0.8194893816240145
2019-07-31,0.828179888802714
2019-08-07,0.8221626684588748
2019-08-16,0.8419235420000689
2019-08-23,0.9353421133542335
2019-08-30,0.9378476385235914
2019-09-09,0.9220819550320664
2019-09-17,0.886421756924971
2019-09-24,0.9096191263349338
2019-10-01,0.9880252057584226
2019-10-10,0.9128968807809519
2019-10-17,0.8793453588912823
2019-10-25,0.8815430424693486
2019-11-01,0.8787142631607265
2019-11-08,0.8846087891972124
2019-11-18,0.8819332847639817
2019-11-25,0.8832022155238609
2019-12-02,0.8854933424402474
2019-12-09,0.8712532582801195
2019-12-16,0.8569345343756444
2019-12-23,0.8666840720127067
2019-12-31,0.8628849233477818
2020-01-07,0.8612722655220008
2020-01-14,0.8448624036643144
2020-01-21,0.8485958913872609
2020-01-28,0.8655416249289132
2020-02-04,0.8467635237759824
2020-02-11,0.8581407804188244
2020-02-18,0.85482006253697
2020-02-26,0.8686324081947385
2020-03-04,0.8533833120822404
2020-03-12,0.874342286759991
2020-03-19,0.9497453596444746
2020-03-26,0.9054007370297589
2020-04-03,0.9177864603310555
2020-04-15,0.9370824782147047
2020-04-22,0.915588011525506
2020-04-29,0.9178169724479613
2020-05-07,0.8980439956761402
2020-05-14,0.8329458397235433
2020-05-21,0.8223691749842883
2020-05-29,0.8109555840399243
