latest_prob,max_prob_1y,mean_prob_1y,frac_ge_0p8_1y,frac_ge_0p6_1y,n_windows,ticker,error
0.47247835649212133,0.4740456314502089,0.07714455531016157,0.0,0.0,492.0,JWL.NS,
0.4286866519428568,0.4286866519428568,0.03709847991657889,0.0,0.0,103.0,KAYNES.NS,
0.3377082211929511,0.3722946761141832,0.06357223104499646,0.0,0.0,492.0,TRENT.NS,
0.32398194380575923,0.37592700873571494,0.178775404890571,0.0,0.0,52.0,IREDA.NS,
0.31385834379400135,0.32907651508367125,0.08613320806221254,0.0,0.0,492.0,RECLTD.NS,
0.3065322224650306,0.3205209723403071,0.08513911078425211,0.0,0.0,492.0,SJVN.NS,
0.28355955303117725,0.3971418019813266,0.06830672510440211,0.0,0.0,281.0,RVNL.NS,
0.2709193975299675,0.35211072391082254,0.07741446760387975,0.0,0.0,359.0,DIXON.NS,
0.26066851816753006,0.2632040044960508,0.07472147040221726,0.0,0.0,492.0,PFC.NS,
0.25692074509606405,0.32626499302541306,0.08665934023464782,0.0,0.0,192.0,IRFC.NS,
0.2518404371350601,0.35447788835585475,0.16359350316603063,0.0,0.0,57.0,ARE&M.NS,
0.2477813085963698,0.2514917129066323,0.060097868213430196,0.0,0.0,401.0,VBL.NS,
0.2308467534471394,0.28346547562660224,0.15136090322528414,0.0,0.0,65.0,JIOFIN.NS,
0.21564583157885883,0.9846991581889603,0.2466193489125191,0.027777777777777776,0.17063492063492064,321.0,ADANIGREEN.NS,
0.20339502967711573,0.323198925188337,0.06533362917102334,0.0,0.0,492.0,SUZLON.NS,
0.19148522296493678,0.22901263894410293,0.06261538685202171,0.0,0.0,281.0,POLYCAB.NS,
0.18504189336421276,0.4045683843412779,0.10149184201264537,0.0,0.0,257.0,IRCTC.NS,
0.17019704796155719,0.323742473701552,0.08546030204397086,0.0,0.0,375.0,HUDCO.NS,
0.16693774066268746,0.2632103121583327,0.07451813054365591,0.0,0.0,492.0,TATAPOWER.NS,
0.16512106840932536,0.29576938694786115,0.04880788761591754,0.0,0.0,332.0,HAL.NS,
0.14721001532267022,0.5271481398869925,0.08255802819997206,0.0,0.0,363.0,COCHINSHIP.NS,
0.14365172724838712,0.14365172724838712,0.034800751372390956,0.0,0.0,208.0,MAZDOCK.NS,
0.10874940917386881,0.5531611579652155,0.09549774883741254,0.0,0.0,492.0,BHEL.NS,
0.10218623537649621,0.4690376466571959,0.10641442382022875,0.0,0.0,492.0,NBCC.NS,
0.08800804614915723,0.21957472508932085,0.042313285337637986,0.0,0.0,492.0,BEL.NS,
,,,,,,ADANITOTAL.NS,No data returned for ADANITOTAL.NS
,,,,,,AEGISLOG.NS,Too few points for AEGISLOG.NS: 386
,,,,,,AVENUE.NS,No data returned for AVENUE.NS
,,,,,,OLAELEC.NS,Too few points for OLAELEC.NS: 341
,,,,,,ZOMATO.NS,No data returned for ZOMATO.NS
